City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Sangar,RU,63.9242,127.4739,-39.17,96,37,3.33,scattered clouds
259,Ossora,RU,59.2353,163.0719,34.81,87,98,24.05,light snow
260,Lat Yao,TH,15.751,99.7893,73.38,58,80,2.35,broken clouds
261,Praia,CV,14.9215,-23.5087,73.94,78,0,18.41,clear sky
262,Zhanakorgan,KZ,43.9098,67.2495,29.44,70,0,10.65,clear sky
263,Raudeberg,NO,61.9875,5.1352,48.87,66,100,13.0,overcast clouds
264,Saint Andrews,US,34.0454,-81.1293,42.39,74,100,0.0,overcast clouds
265,La Palma,US,33.8464,-118.0467,59.5,74,0,8.05,clear sky
266,Fort Nelson,CA,58.8053,-122.7002,-38.61,67,0,2.3,clear sky
267,Narsaq,GL,60.9167,-46.05,7.02,63,5,8.43,clear sky
268,Mecca,SA,21.4267,39.8261,72.73,65,7,2.75,clear sky
269,Swinford,IE,53.95,-8.95,48.33,98,74,13.6,broken clouds
270,Huilong,CN,31.8111,121.655,47.93,51,8,12.82,clear sky
271,Khatanga,RU,71.9667,102.5,-11.83,99,100,8.16,light snow
272,Vera Cruz,BR,-12.6333,-41.0333,67.57,89,98,3.58,overcast clouds
273,Khorixas,NA,-20.3667,14.9667,59.47,63,1,2.44,clear sky
274,Gravdal,NO,68.1214,13.5031,32.86,66,100,16.8,overcast clouds
275,Jiehu,CN,35.5428,118.455,37.76,45,100,7.11,overcast clouds
276,Hualmay,PE,-11.0964,-77.6139,70.56,82,96,9.1,overcast clouds
277,Saint George,US,37.1041,-113.5841,39.79,48,0,4.61,clear sky
278,Dawei,MM,14.0833,98.2,79.0,43,23,3.36,few clouds
279,Pitimbu,BR,-7.4706,-34.8086,79.39,78,3,10.31,clear sky
280,Ubata,BR,-14.2139,-39.5228,67.6,100,63,0.65,broken clouds
281,Pau,FR,43.4167,-0.5833,51.12,87,75,2.3,broken clouds
282,Pangnirtung,CA,66.1451,-65.7125,15.8,92,100,2.3,mist
283,Faanui,PF,-16.4833,-151.75,80.37,75,63,12.46,broken clouds
284,Millbrook,US,32.4799,-86.3619,46.2,86,100,0.0,light rain
285,Nathdwara,IN,24.9333,73.8167,54.59,25,51,1.03,broken clouds
286,San Ignacio,BZ,17.1561,-89.0714,68.58,97,3,2.28,clear sky
287,North Platte,US,41.1239,-100.7654,4.89,72,0,5.75,clear sky
288,Leningradskiy,RU,69.3833,178.4167,3.36,85,6,7.78,clear sky
289,Shangrao,CN,28.4532,117.9686,49.75,43,11,4.88,few clouds
290,Sao Filipe,CV,14.8961,-24.4956,76.14,60,4,12.12,clear sky
291,Rio Gallegos,AR,-51.6226,-69.2181,59.05,58,0,24.16,clear sky
292,Hambantota,LK,6.1241,81.1185,79.14,94,40,3.44,scattered clouds
293,Xinmin,CN,41.9908,122.8253,24.06,39,100,12.71,overcast clouds
294,Makakilo City,US,21.3469,-158.0858,75.52,65,20,12.66,light rain
295,San Jose,US,37.3394,-121.895,50.86,78,100,6.91,overcast clouds
296,Mnogovershinnyy,RU,53.9353,139.9242,-4.0,75,100,11.3,overcast clouds
297,Pyay,MM,18.8167,95.2167,80.98,60,100,1.97,overcast clouds
298,Richards Bay,ZA,-28.783,32.0377,68.31,95,87,5.57,light rain
299,Yankton,US,42.8711,-97.3973,7.05,78,100,16.11,overcast clouds
300,Sile,TR,41.1754,29.6133,47.57,54,93,5.01,overcast clouds
301,Galesong,ID,-5.3166,119.3661,86.02,70,98,3.87,overcast clouds
302,Shache,CN,38.4167,77.2406,29.71,47,27,2.1,scattered clouds
303,Marzuq,YE,14.4,46.4667,51.06,56,0,3.04,clear sky
304,Mayo,US,38.8876,-76.5119,32.99,63,40,17.27,scattered clouds
305,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,23.94,93,94,7.16,overcast clouds
306,Bogovarovo,RU,58.9785,47.0246,-6.27,100,100,3.11,overcast clouds
307,Kanniyakumari,IN,8.0833,77.5667,78.94,76,100,19.91,overcast clouds
308,Igarka,RU,67.4667,86.5833,-27.08,100,100,4.61,overcast clouds
309,Garden City,US,42.3256,-83.331,27.05,77,100,0.0,overcast clouds
310,Aktau,KZ,43.65,51.2,32.58,76,100,21.79,overcast clouds
311,Mehamn,NO,71.0357,27.8492,33.71,68,43,5.75,scattered clouds
312,Olafsvik,IS,64.8945,-23.7142,28.98,71,95,50.82,overcast clouds
313,Berlevag,NO,70.8578,29.0864,33.75,55,75,14.97,broken clouds
